LinkName;XPath;Text;
Everyday finances;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Everyday finances;
New payment;/html/body/table/tbody/tr[2]/td[3]/h1;New payment;
;//*[@id='newpayment']/h3;Payment information;
New transfer;/html/body/table/tbody/tr[2]/td[3]/h1;New transfer;
;//*[@id='newtransfer']/h3;Transfer information;
Other payments;/html/body/table/tbody/tr[2]/td[3]/h1;Other payments;
;//*[@id='duepayments']/h3;Search due payments;
Cross-border payment;/html/body/table/tbody/tr[2]/td[3]/h1;Cross-border payment;
;//*[@id='crossborder_payment']/h3;Payment;
Beneficiary register;/html/body/table/tbody/tr[2]/td[3]/h1;Beneficiary register;
;/html/body/table/tbody/tr[2]/td[3]/h3[1];Domestic beneficiaries;
Unconfirmed payments;/html/body/table/tbody/tr[2]/td[3]/h1;Unconfirmed payments;
;/html/body/table/tbody/tr[2]/td[3]/h3[1];Unconfirmed payments;
Due payments and transfers;/html/body/table/tbody/tr[2]/td[3]/h1;Due payments and transfers;
;//*[@id='duepayments']/h3;Search due payments;
Payment templates;/html/body/table/tbody/tr[2]/td[3]/h1;Payment templates;
;//*[@id='paymentlogsearch']/div/h3;Search;
Direct debit authorisations;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/font;Direct debit authorisations;
SEPA direct debit;/html/body/table/tbody/tr[2]/td[3]/h1;SEPA direct debit;
;//*[@id='agreement']/h3;Agreement;
SEPA direct debit payments;/html/body/table/tbody/tr[2]/td[3]/h1;SEPA direct debit payments;
E-invoices;/html/body/table/tbody/tr[2]/td[3]/h1;E-invoices;
;/html/body/table/tbody/tr[2]/td[3]/h3;Ordered e-invoices;
New invoicer;/html/body/table/tbody/tr[2]/td[3]/h1;New invoicer;
;//*[@id='invoicerselection']/h3;Search for invoicer;
Arrived invoices;/html/body/table/tbody/tr[2]/td[3]/h1;Arrived invoices;
;/html/body/table/tbody/tr[2]/td[3]/h3;Invoices;
E-invoice alerts and confirmations;//*[@id='manage_einvoice_notifications']/h1;E-invoice alerts and confirmations;
;//*[@id='manage_einvoice_notifications']/h3;E-invoice alerts and confirmations;
Accounts;/html/body/table/tbody/tr[2]/td[3]/h1;Accounts;
;/html/body/table/tbody/tr[2]/td[3]/h3;Current accounts;
Transactions and information;/html/body/table/tbody/tr[2]/td[3]/h1;Transactions and information;
;/html/body/table/tbody/tr[2]/td[3]/h3;Account transactions;
